0024c4909c74,0028a8bae72c,002de08cc0b2,002dc03e3d79,002f103e2778,003307b8880f,003685062cbe,00381f26910d
0039c5d2388f,0038411131e8,003b30d10301,00388c037853,0037ba9e628c,00345d3a3c57,0035e05d975a,0030cb0cbb53
00315e2419a5,002b40750e0e,0024e687608e,0022cb68ddcb,002025e6e596,0019db20e8e9,001798089dc0,000ce2ced1d6
000863d656b1,0007245b095e,ffff34e872f2,fff759a2b49e,fff1ba7cc250,fff5252545c6,ffe856c73a43,ffe8cf83bb5d
ffe2b56e5e50,ffd858a05192,ffd9d3da462e,ffd917f3d52e,ffd7dd2a048c,ffd1da938442,ffd1502c3449,ffcb63bb6b39
ffcce62d71b6,ffcef5df9fc3,ffcc7b669ea5,ffcdf111d0a8,ffcc54d05bcf,ffcd8aaec770,ffd15bb2151e,ffd2a483f70b
ffd5fa9c8158,ffd926f5bfe9,ffd869be61d5,ffdf78ab7b38,ffe29e46e65c,ffe8d89a22ba,ffecbe677a7a,fff488aad204
ffff6d92d571,fffe338f6147,00070063cee3,000daaab0efb,001320975c9e,00144c67c25d,0016fcf1e460,001ee3ba6bb3
002625b784d4,002bc2a63b5b,002b64db9fc6,002d3d8dbf25,00322db7086f,0030f0926502,0037d18ad9d0,0037799a15f7
003a68b58a16,003bf5717ce0,00391f341527,0036aceffad9,003923e142af,003827c7faaf,003344b218f2,0033f1baf51b
003122f03061,0029e86d2b22,002a23844610,0026cac0c023,001fbd61e683,001889a02a71,00196a7d3a89,00105cd84f18
000b8c4dfeaf,ffff75f21d51,0001c7cb554f,fff8e9957cee,fff7d34014f5,fff256624259,ffec85944ec8,ffeacaab20a2
ffe47b0dd58e,ffde245bf040,ffdd86297bdf,ffd595e1b262,ffd080c91841,ffcf0866587e,ffd2dd88321b,ffce557a8088
ffceef025f19,ffcd96ef723a,ffcca9da0f81,ffc9892302d4,ffcdca34419f,ffd2809a9a96,ffd175310108,ffd2401a95c4
ffd8f533f8f1,ffda57f552f6,ffde6c6e50a9,ffe59eecd69c,ffe68d1ca3ad,ffebd627cdc3,fff1e5beb190,fff52113c920
fffbb66733c3,fffdabc9b219,0005ef257036,00093b3da110,000e40c43cf5,00150e44cffb,001d62186d7b,001d93da30d4
00261330e839,0026f20e4bcb,002cba1f452b,002d8eb7ccf8,0031dfb24f71,0033402f13b7,003894d754f5,00353579c6db
003c6a9fc79b,003912962d8d,0038937fa855,003c9c8f857e,0035cb6046d3,0038ba4ee958,0036187779fa,003390ac6c09
002f93518835,002ca2fa493c,0026ea146c61,00213daf23a0,001f7fb392fb,0019301fc13c,0013bee7e09d,00123b531358
00091e75bf9c,0005f6341f1f,fffe7f3321ea,fff98e5a1568,fff81d6f1f2d,fff336b98c42,ffe9a1c99d99,ffe72acb9f72
