004850b4d532,004fc2dbdbc2,00515de4ef2c,0050ad117964
004bc41a32f2,0047ad66dacf,003c87be0337,00310f1ee583
00268e76fd1f,00138f015760,0008707f2e8e,fff36cc80ef7
ffeb415cbb70,ffdcc8a54ca7,ffcada1b7328,ffc9d9229392
ffc037c93dc0,ffb7914da566,ffb97295447b,ffb78db5942f
ffb968a7d34c,ffc0efcbb40a,ffc736a39db1,ffd082cfef7b
ffddea0c79c8,fff1e801609d,0000a5efa7a0,00140f98c61c
001c24ad68f2,002c41feec6d,003c48f3818e,0040bfec934a
00485cb6ac1b,005024c173f3,00536eee1038,004ef26035e5
004e30e18df2,004881bcb690,003dbe24046e,0035c491c239
00256f08168e,0018c3be17eb,00039187e046,fff914ebf40a
ffec44a6cd91,ffe04dcdf0d7,ffd233110b0f,ffc3e630859a
ffbcc6fdf87c,ffbbb1ff6356,ffb8a8d72129,ffb4d7c3bf56
ffbe0e761e73,ffc0fd7e6205,ffcbc439e85d,ffd88dacab5a
ffe3ab9007d6,fff204f6e779,ffff0ea28edb,000d5d4455e6
001ef69414ca,002cf50958a4,003925035142,00418f5caa9e
004a38580466,004f75c56e72,0051cea820c3,0051d8e3dd70
004e8406b908,00489b836853,003e11d3c5a6,00305f7d88b5
0023defdc3ad,00172f576d78,00064d533d2e,fff8676bc523
ffebf4a8b505,ffdcbbfb7735,ffcfb6c62c1a,ffc398c26d7d
ffb84b740fbf,ffb8278e193f,ffb1bc192c1d,ffb5eb6156cb
ffbb4527e42a,ffc48f094246,ffcebd4cc861,ffd5792dbaef
ffe25623b30d,fff4fa048b1e,fffded5e6b33,00130ffeb64e
001f54519600,002ea4286eac,003cbd56a2c0,004235a7c962
00466013f120,004e38f6fcc5,0051557ad422,00501cbb29fc
004beea8d0cd,00449461b05a,003ecf425d6c,0034e0722479
0020b8045c7e,0017cdd25c3a,000a29f42b37,fff695e8b322
ffe949cfd2bb,ffdbf9b01b94,ffcde412e073,ffc5703ad021
ffbfd50f875a,ffb5c9ffac30,ffb1c0d1eeed,ffb5208627cb
ffba8ccd69e5,ffbf5dd08780,ffc7b867f058,ffd85a9bda14
ffe2fd4ef052,ffeeae20138b,fffde83a67f1,000f14580454
001ed25c2ffb,002e6fb98ce6,0038c52cd0e1,004031852e38
004840e8b89b,00500bfae986,0051f763ed82,0050cb77a8e0
004e22404199,00460f56e175,003e031c034b,0033cc74ceb2
00234ed30fd1,0011f13fff55,000682b2bdf3,fff8c6b9b8f3
ffe92277449b,ffdb1f402720,ffd0811a81b0,ffc55a361004
ffbe3462380d,ffb938edccc1,ffb6f3b49b43,ffb5eebdac5b
ffba848b5858,ffbde327a00b,ffc65ec5b63b,ffd52881744b
ffe1be1ef5b6,ffebfa510930,0003143c8780,001163210067
0021951b604d,002ec01b2384,003a1a1d6f62,00426f3ecbdf
0049e89d0f29,005114f5a710,00522f2dc152,005434fef7f2
004a7e61df89,00464c36870e,003d475bced5,0033a77d00de
00267b781c9c,00108614930f,000466f0d567,fff909183e53
ffee19a2a55e,ffd7b442bbf8,ffceb28b91a1,ffc0caee38c3
ffbc9e4b1ac0,ffb9d6f62a78,ffb149ae0ea6,ffb4bbaa365b
ffb9a2b45623,ffc2e638b7db,ffc84ed27036,ffd753b5a0a9
ffe1724d6bd5,ffecbfaa3918,ffff2e235d53,000ed540eb97
00223372e459,002b2f023ce8,003a40f34692,0042f3295b47
004a7fe94941,00505246d821,005242069568,0050dc1f01ad
0049f2171343,00489a6721d6,003e1cf0fd4e,00328ba18db7
002023b85f07,001887c4d70a,00090162a495,fff62ba93bf4
