001d2b988f,0016bb7956
000d466bfa,00035d6d23
fffe2629c8,00002b1bfa
fff972c18e,fff8928585
fff548122b,ffef76c8e0
0005ccc2e7,0012bb1455
001898c163,0019be0b41
0021a31dc5,001ebd1617
00215c7c00,001dff9e0d
000eba48e6,000889763f
000bee1526,fff7148976
fffded5555,fff68f7f21
fffc2329ff,0004c1c239
000616f23d,000a9caa32
00195336e4,001aabcec3
001fc480cb,0022d6fe20
0022044a5d,0013cd54dc
000f2211bd,00095b6953
0004329167,fff293d86b
ffeeedd380,fff187b2ef
00034a5390,ffffae45c1
00094afb26,00121195bc
001f764f45,001a32f3b1
001b670556,001db5300c
001b3a6230,0018794747
00116ea08a,0006a649d1
fffe9f8b3a,fffc31af48
ffef6c3ee8,fff1512441
fff3448567,000226036f
ffff208847,000d2ea338
001b199646,00160e96a3
002031f7a2,0020ddf5f2
001dc3153f,001970ec98
000624bd7d,000886d418
ffff4ab802,fffb4f86df
fff8ff087c,fff5542b7d
ffefd6aca4,fffab1b803
ffff3558e7,0016db1532
001d6de41e,001c064574
0022f39f88,0022da7c3a
001a285221,001c99bddf
0002f328ef,000d4bc671
fffb61a9a9,fff2b8ff9c
fff457cc38,ffee2ddd0d
fff9a173a3,fffe88d382
fffc4a579d,00113a4ea1
0018bec1b7,001e170b7e
002219cc69,001ce13511
002002ae92,00132b22ff
0012353079,0002cf4bef
fffca31df7,ffefa1bca0
fff0a2c22a,fff6ffb643
fffdec9b3c,00019aaaa4
0007458e5a,0007aecdd5
00165c1ac7,0017250d46
0022436632,001c5fadf9
002251e87c,0016ee714d
000f7c89a4,0007b33e8b
0001c4872e,fffccab428
fff912a8d8,fff3e58372
fff568bbbf,fffc536084
0008ae91ae,001599247a
001e400025,0017e9264e
00288b2bbe,001f774947
001ccbb538,000fa76165
0011d7410c,000781b578
fff99fd636,fff3d64b46
fffadcaa01,fff6de98ec
fff0b2c64b,ffffea572c
0004349027,000cf7cc2a
000efb9448,001a4b4861
00185d8ac7,002658424e
00245ea387,001791c5c5
000e40524a,000ab55cd2
fff909a890,fff56218aa
fff983ade0,fff156db14
fff4086c1e,fff7e9b72b
00062cf1c4,0015544954
001b0a51a1,00216e2db9
001cb3f9b6,00214f8230
001f0865e1,0016017504
001655074e,000af7f101
fffb1f1d58,ffef319465
fff6b18ffc,fff42ce2fc
fff8cdb18d,fff8e51428
0000da8432,000e84c490
0016ea0535,0018c39e6b
001ef2c98e,0028664f3d
001ea9fd56,0016987d53
00134de718,000e8c0197
0005befd7e,fffc338241
fff96853e1,ffef590bf5
fffee1aeef,0006a22f26
00066e7b35,000bb034f0
00153fa4cf,0021658749
0020ee7e6a,001ada0949
001bdacd7f,0018337523
000bb9fadb,0008dd08c6
fffc543a31,fff7335f3a
fffaef2b4a,fff73fea60
fffc0326e1,00072e2527
00015447b0,000fef8070
001500433c,00171fb592
00224972aa,001b78efb1
001879d296,001aaef58f
000c83acc8,000297d3a8
00060a9a36,fffe1a591c
fff70a2bb2,ffface20e1
fff8ac835a,fffe967de9
00026a89c3,000e492fbf
00139e9f11,0016f79ebf
001fb806b8,001b3ecdef
001e0e621d,0016343fb8
0017f1be85,0007b16746
0001ab6575,fffa938866
fff54d9313,fff6a532e2
ffff97089e,fffdb2ff6f
000e4e3754,000fe3a78c
0017194cfc,001e5e1e8e
001a21b789,0019e8bd22
001e47f9f7,0019004b33
