033b,033c,033d,033e,033f,0340,0341,0342,0343,0345,0346,0347,0348,034a,034b,034c
034d,034e,034f,0350,0351,0352,0354,0355,0356,0357,0358,035a,035b,035c,035e,035f
0360,0362,0363,0365,0366,0368,0369,036b,036c,036e,036f,0371,0372,0374,0375,0376
0378,0379,037b,037c,037d,037f,0380,0381,0383,0384,0385,0387,0388,0389,038b,038c
038d,038f,0390,0391,0393,0394,0395,0397,0398,0399,039a,039c,039d,039e,03a0,03a1
03a3,03a4,03a6,03a8,03a9,03ab,03ac,03ae,03af,03b1,03b3,03b4,03b6,03b7,03b9,03ba
03bc,03be,03bf,03c1,03c2,03c4,03c5,03c7,03c8,03ca,03cb,03cd,03ce,03d0,03d1,03d2
03d3,03d4,03d5,03d6,03d7,03d7,03d8,03d9,03da,03db,03db,03dc,03dd,03dd,03de,03df
03e0,03e0,03e1,03e2,03e3,03e3,03e4,03e5,03e5,03e6,03e7,03e7,03e8,03e8,03e9,03e9
03ea,03ea,03ea,03eb,03eb,03eb,03ec,03ec,03ec,03ed,03ed,03ed,03ee,03ee,03ee,03ee
03ee,03ef,03ef,03ef,03ef,03ef,03ef,03ef,03ef,03ef,03f0,03f0,03f0,03f0,03f1,03f1
03f2,03f3,03f4,03f4,03f5,03f6,03f7,03f8,03f8,03f9,03fa,03fb,03fc,03fd,03fe,03fe
03ff,0400,0401,0401,0402,0403,0403,0404,0405,0405,0406,0407,0407,0408,0409,040a
040b,040b,040c,040d,040e,040f,040f,0410,0411,0411,0412,0413,0413,0414,0415,0416
0416,0417,0418,0419,0419,041a,041b,041b,041c,041d,041d,041e,041e,041e,041e,041e
041d,041c,041c,041b,041a,0419,0418,0417,0416,0415,0414,0412,0411,0410,040f,040d
040c,040a,0409,0408,0406,0405,0403,0401,0400,03fe,03fc,03fa,03f9,03f7,03f6,03f4
03f3,03f2,03f0,03ef,03ee,03ec,03eb,03e9,03e8,03e6,03e5,03e4,03e2,03e1,03df,03de
03dc,03db,03d9,03d7,03d6,03d4,03d3,03d1,03cf,03ce,03cc,03cb,03c9,03c7,03c5,03c3
03c1,03bf,03bd,03bb,03b9,03b7,03b5,03b3,03b0,03ae,03ac,03aa,03a7,03a5,03a3,03a1
039f,039d,039b,0399,0397,0395,0393,0391,038f,038e,038c,038a,0388,0386,0383,0381
037f,037c,037a,0377,0375,0372,0370,036e,036c,0369,0367,0365,0363,0361,035e,035c
0359,0357,0355,0352,0350,034e,034b,0349,0347,0345,0342,0340,033e,033d,033c,033c
033b,033b,033a,033a,033a,033a,033a,033a,033b,033b,033b,033c,033c,033d,033d,033e
033e,033f,033f,0340,0341,0341,0342,0343,0344,0345,0346,0347,0348,0349,034a,034b
034c,034d,034e,034e,034f,0350,0351,0352,0353,0354,0355,0356,0357,0359,035a,035b
035c,035e,035f,0360,0362,0363,0364,0366,0367,0369,036a,036b,036d,036e,036f,0371
0372,0373,0375,0376,0377,0378,037a,037b,037c,037e,037f,0380,0382,0383,0384,0386
0387,0388,038a,038b,038c,038d,038f,0390,0391,0393,0394,0395,0397,0398,039a,039b
039d,039e,03a0,03a2,03a3,03a5,03a6,03a8,03aa,03ab,03ad,03ae,03b0,03b2,03b3,03b5
03b7,03b8,03ba,03bc,03bd,03bf,03c1,03c2,03c4,03c6,03c7,03c9,03cb,03cc,03cd,03ce
03cf,03d1,03d2,03d3,03d4,03d5,03d6,03d6,03d7,03d8,03d9,03da,03db,03dc,03dd,03dd
03de,03df,03e0,03e1,03e2,03e3,03e3,03e4,03e5,03e6,03e6,03e7,03e8,03e9,03e9,03ea
03eb,03ec,03ec,03ed,03ee,03ee,03ef,03f0,03f0,03f1,03f2,03f3,03f3,03f4,03f5,03f5
03f6,03f6,03f7,03f8,03f8,03f9,03f9,03fa,03fa,03fb,03fb,03fc,03fd,03fd,03fe,03ff
03ff,0400,0401,0402,0402,0403,0404,0405,0406,0406,0407,0408,0409,0409,040a,040b
040c,040c,040d,040e,040e,040f,0410,0411,0411,0412,0413,0413,0414,0415,0415,0416
0417,0418,0418,0419,041a,041a,041b,041c,041c,041d,041e,041e,041f,0420,0420,0421
0422,0422,0423,0423,0424,0425,0425,0426,0426,0427,0428,0428,0429,0429,042a,042a
042a,042b,042b,042b,042c,042c,042c,042c,042d,042d,042d,042d,042d,042e,042e,042e
042e,042e,042f,042f,042f,042f,042f,042f,042f,0430,0430,0430,0430,0430,0430,0430
0430,0430,0430,0430,0430,0430,0430,0430,0430,0430,0430,0430,0430,0430,0430,0430
042f,042f,042f,042f,042f,042f,042f,042f,042e,042e,042e,042e,042e,042e,042e,042e
042e,042e,042e,042e,042e,042e,042e,042e,042e,042e,042e,042e,042e,042e,042e,042e
042e,042e,042e,042e,042e,042e,042e,042e,042e,042e,042e,042e,042e,042e,042e,042e
042d,042d,042d,042d,042d,042d,042d,042d,042d,042d,042d,042d,042d,042d,042d,042d
042c,042c,042c,042c,042c,042c,042c,042c,042c,042c,042c,042b,042b,042b,042b,042a
042a,0429,0429,0428,0428,0427,0427,0426,0425,0425,0424,0424,0423,0422,0422,0421
0420,0420,041f,041e,041d,041d,041c,041b,041a,041a,0419,0418,0417,0417,0416,0415
0415,0414,0413,0413,0412,0411,0411,0410,040f,040e,040e,040d,040c,040c,040b,040a
0409,0409,0408,0407,0406,0406,0405,0404,0404,0403,0402,0401,0401,0400,03ff,03fe
03fd,03fc,03fc,03fb,03fa,03f9,03f8,03f7,03f6,03f5,03f4,03f4,03f3,03f2,03f1,03f0
03ef,03ee,03ee,03ed,03ec,03eb,03ea,03ea,03e9,03e8,03e7,03e6,03e6,03e5,03e4,03e3
03e2,03e1,03e0,03df,03de,03dd,03dc,03db,03da,03da,03d9,03d8,03d7,03d6,03d5,03d4
03d3,03d2,03d1,03d0,03d0,03cf,03ce,03cd,03cc,03cb,03ca,03c9,03c9,03c8,03c8,03c7
03c7,03c7,03c6,03c6,03c6,03c6,03c6,03c6,03c5,03c5,03c5,03c5,03c5,03c5,03c5,03c5
03c5,03c5,03c5,03c5,03c5,03c5,03c5,03c6,03c6,03c6,03c6,03c6,03c6,03c6,03c7,03c7
03c7,03c7,03c8,03c8,03c8,03c8,03c9,03c9,03c9,03c9,03ca,03ca,03ca,03cb,03cb,03cc
03cc,03cc,03cd,03cd,03ce,03ce,03cf,03cf,03d0,03d0,03d1,03d1,03d2,03d2,03d2,03d2
03d2,03d3,03d3,03d3,03d3,03d3,03d3,03d3,03d3,03d3,03d3,03d3,03d3,03d3,03d3,03d4
03d4,03d4,03d4,03d4,03d4,03d4,03d4,03d5,03d5,03d5,03d5,03d5,03d5,03d5,03d6,03d6
03d6,03d6,03d6,03d6,03d6,03d6,03d7,03d7,03d7,03d7,03d7,03d8,03d8,03d8,03d8,03d8
03d8,03d8,03d9,03d9,03d9,03d9,03d9,03d9,03da,03da,03da,03da,03db,03db,03dc,03dc
03dd,03de,03df,03df,03e0,03e1,03e2,03e3,03e4,03e5,03e6,03e7,03e8,03e9,03ea,03eb
03ec,03ed,03ee,03ef,03f0,03f1,03f2,03f4,03f5,03f6,03f7,03f8,03fa,03fb,03fc,03fd
03fe,03ff,03ff,0400,0401,0402,0403,0404,0405,0406,0407,0408,0409,040a,040b,040c
040c,040d,040e,040f,0410,0411,0412,0413,0414,0415,0416,0417,0418,0419,041a,041c
041d,041e,0420,0421,0423,0424,0426,0427,0429,042a,042c,042d,042f,0430,0432,0433
0434,0436,0437,0439,043a,043b,043c,043e,043f,0440,0442,0443,0444,0446,0447,0449
044b,044c,044e,0450,0451,0453,0454,0456,0457,0459,045a,045b,045d,045e,0460,0462
0463,0465,0466,0468,0469,046b,046c,046e,046f,0471,0472,0473,0475,0475,0476,0476
0476,0476,0476,0475,0475,0474,0474,0474,0473,0472,0472,0471,0470,046f,046f,046e
046d,046c,046b,046a,0469,0468,0467,0466,0465,0464,0462,0461,0460,045f,045e,045c
045b,045a,0459,0458,0457,0456,0455,0454,0452,0451,0450,044f,044e,044c,044b,044a
0448,0447,0445,0444,0443,0441,0440,043e,043d,043b,043a,0438,0437,0435,0434,0432
0431,042f,042e,042c,042b,0429,0428,0426,0424,0423,0421,0420,041e,041d,041b,041a
0418,0417,0415,0414,0412,0411,040f,040e,040c,040b,0409,0408,0406,0405,0403,0401
03ff,03fe,03fc,03fa,03f8,03f6,03f4,03f3,03f1,03ef,03ed,03ec,03ea,03e8,03e6,03e4
03e2,03e1,03df,03dd,03db,03d9,03d7,03d6,03d4,03d2,03d0,03ce,03cd,03cb,03ca,03c9
03c8,03c7,03c6,03c5,03c5,03c4,03c3,03c2,03c2,03c1,03c1,03c0,03c0,03bf,03be,03be
03bd,03bd,03bc,03bb,03bb,03ba,03ba,03ba,03b9,03b9,03b8,03b8,03b8,03b7,03b7,03b7
03b6,03b6,03b6,03b6,03b5,03b5,03b5,03b5,03b4,03b4,03b4,03b4,03b4,03b3,03b3,03b3
03b3,03b3,03b3,03b3,03b3,03b3,03b3,03b3,03b3,03b3,03b3,03b3,03b3,03b3,03b3,03b2
03b2,03b1,03b1,03b0,03b0,03af,03af,03ae,03ad,03ad,03ac,03ab,03ab,03aa,03aa,03a9
03a9,03a8,03a8,03a7,03a7,03a6,03a6,03a5,03a4,03a4,03a3,03a3,03a2,03a2,03a1,03a1
03a0,03a0,039f,039f,039e,039e,039d,039d,039c,039c,039c,039b,039b,039a,039a,0399
0399,0398,0398,0398,0397,0397,0396,0396,0395,0395,0395,0394,0394,0394,0394,0394
0394,0394,0395,0395,0395,0396,0396,0396,0397,0397,0398,0398,0399,0399,039a,039a
039b,039c,039d,039d,039e,039f,03a0,03a0,03a1,03a2,03a3,03a4,03a5,03a5,03a6,03a6
03a7,03a7,03a7,03a8,03a8,03a8,03a9,03a9,03aa,03aa,03aa,03ab,03ab,03ac,03ac,03ac
03ad,03ad,03ae,03ae,03af,03af,03af,03b0,03b0,03b0,03b1,03b1,03b2,03b2,03b4,03b5
03b6,03b7,03b9,03ba,03bb,03bd,03be,03c0,03c2,03c3,03c5,03c7,03c8,03ca,03cb,03cc
03ce,03cf,03d0,03d2,03d3,03d4,03d6,03d7,03d8,03da,03db,03dc,03de,03df,03e1,03e3
03e4,03e6,03e8,03ea,03ec,03ee,03ef,03f1,03f2,03f4,03f5,03f7,03f8,03fa,03fc,03fe
0400,0401,0403,0405,0406,0408,040a,040b,040d,040f,0410,0412,0413,0414,0413,0413
0412,0412,0411,0410,040e,040d,040c,040b,0409,0408,0406,0405,0403,0401,03ff,03fd
03fb,03f9,03f7,03f5,03f3,03f1,03ee,03ec,03e9,03e7,03e4,03e2,03df,03dd,03db,03d9
03d7,03d5,03d3,03d2,03d0,03ce,03cc,03ca,03c8,03c6,03c4,03c2,03c0,03be,03bc,03ba
03b8,03b6,03b4,03b2,03b0,03ae,03ac,03aa,03a7,03a5,03a3,03a1,039f,039c,0399,0396
0393,0390,038d,038a,0387,0384,0380,037d,0379,0376,0372,036f,036b,0368,0365,0362
035f,035c,0359,0356,0353,0350,034d,034a,0347,0344,0341,033f,033c,0338,0335,0331
032d,032a,0326,0322,031e,031a,0317,0313,0310,030d,0309,0306,0303,02ff,02fb,02f7
02f3,02f0,02ec,02e9,02e5,02e2,02de,02da,02d7,02d4,02d0,02cd,02ca,02c8,02c8,02c7
02c7,02c8,02c8,02c9,02ca,02cb,02cc,02cd,02ce,02cf,02d1,02d3,02d5,02d6,02d8,02da
02dc,02de,02e1,02e3,02e5,02e7,02ea,02ed,02f0,02f3,02f6,02f9,02fc,02fe,0301,0303
0305,0308,030a,030d,030f,0312,0314,0317,0319,031c,031e,0321,0324,0327,0329,032c
032f,0332,0335,0339,033c,033f,0342,0345,0348,034c,034f,0352,0355,0359,035c,0360
0363,0367,036a,036e,0371,0375,0379,037d,0380,0384,0388,038c,0390,0394,0397,039b
039e,03a2,03a5,03a9,03ac,03b0,03b3,03b7,03ba,03bd,03c1,03c4,03c8,03cc,03d0,03d4
03d8,03dd,03e1,03e6,03ea,03ee,03f2,03f6,03fb,03ff,0403,0407,040b,040f,0414,0418
041d,0421,0425,0429,042d,0432,0436,043a,043f,0443,0447,044b,044f,0452,0454,0456
0457,0459,045a,045b,045c,045c,045d,045e,045f,045f,045f,045f,045f,0460,0460,0460
0460,0460,0460,0460,0460,0460,045f,045f,045e,045e,045d,045d,045c,045c,045b,045b
045a,045a,0459,0459,0458,0458,0457,0457,0456,0456,0455,0454,0454,0453,0452,0451
0450,044f,044e,044d,044c,044b,044a,0448,0447,0446,0445,0444,0442,0441,0440,0440
043f,043e,043d,043c,043c,043b,043a,0439,0438,0437,0436,0436,0435,0434,0433,0432
