000487f56f,0004890048,00048a65c0,00048c4d32,00048e9190,000490a9fa,000492eee1,0004955026
000497eeac,00049aeb16,00049e27dc,0004a19822,0004a52f3e,0004a85448,0004ab6ca1,0004ae95c9
0004b1d7d6,0004b51332,0004b87023,0004bbcbe3,0004bf502d,0004c31758,0004c718e9,0004cb1fd0
0004cf4be5,0004d37f26,0004d7c55b,0004dc21c2,0004e089b9,0004e47e68,0004e85a93,0004ec1fc8
0004efe9f4,0004f3bd46,0004f7a13c,0004fb801b,0004ff6c25,0005031d33,000506cad1,00050a80fc
00050e4833,000511e0ca,0005158b95,00051923f5,00051ce043,000520f75e,0005254c41,000529b848
00052e4827,0005329d4e,000536f986,00053b5212,00053fbc7c,0005442df1,000548b60c,00054d1324
00055174e0,000555e7b8,00055a5216,00055ebb7a,0005630478,0005665218,00056938b2,00056bea8e
00056e73a0,000570bff5,000572faeb,000574f98c,000576f2fe,0005790d97,00057b3e9f,00057d50a1
00057f6640,00058152b5,00058331db,0005850845,000586d304,0005881f5f,00058946d2,00058a3c82
00058b29a6,00058c221d,00058d21ed,00058e1790,00058f0f19,00058f9124,00058ff54d,0005906f7d
000590f855,000591284b,0005916fce,0005919987,000592029b,0005935ae6,0005953e9d,000597410a
0005998b79,00059bdab7,00059e4730,0005a0e098,0005a39012,0005a5abc4,0005a7a64a,0005a99b8c
0005ab9892,0005ad7e8a,0005af783d,0005b153d6,0005b348d9,0005b57422,0005b7c48e,0005ba2c17
0005bca5e6,0005bea494,0005c09365,0005c25845,0005c42436,0005c64e46,0005c8a7f1,0005caa65f
0005cc969b,0005cea730,0005d0878e,0005d26807,0005d3e4f0,0005d354ea,0005d1d527,0005cfc56f
0005cd42e4,0005ca9b66,0005c7c3d8,0005c48380,0005c1125e,0005bd5afc,0005b97c4c,0005b585a4
0005b17a0f,0005aceb0f,0005a84669,0005a36359,00059e9274,00059a5868,0005966c09,0005928753
00058ec173,00058ab53d,000586a2c2,0005828d05,00057e7c1c,00057a38d6,000575f1b2,0005717a32
00056cff3e,00056891bc,0005641f33,00055fa490,00055b134e,000555b97d,0005501146,00054a4f9c
0005447643,00053e4dda,0005381e26,000531bbc6,00052b69e3,0005258bda,00051ff140,00051a3e75
000514a5f0,00050f16ba,000509884f,0005041ed1,0004feaa30,0004f84255,0004f19294,0004eaa0cb
0004e3aab9,0004dd284c,0004d6d4bd,0004d0a0a5,0004ca876c,0004c3b743,0004bcc34c,0004b64025
0004affa56,0004a947bd,0004a2f3fa,00049c96fa,000496eedc,000493e3a4,000492462a,0004915872
00049136da,0004913599,0004919c37,000492992e,0004940080,0004953e09,000496b076,000498466c
00049a22ea,00049c6fef,00049f0740,0004a1dd24,0004a4dfa0,0004a763f5,0004a9da78,0004ac66ad
0004af0fd7,0004b1ba33,0004b48cea,0004b762e8,0004ba6803,0004bdbb97,0004c151ea,0004c4f498
0004c8c34e,0004cc9eb9,0004d09321,0004d4a425,0004d8c6d7,0004dc7cc6,0004e0202e,0004e3b2ed
0004e75067,0004eafc1e,0004eebdf3,0004f28027,0004f6550a,0004f9f623,0004fd99cf,0005014a92
000505117f,000508b0ca,00050c672b,00051010a9,000513e209,0005180d76,00051c7897,000520ffe4
000525ae9a,00052a24ba,00052ea610,000533264b,000537bd5e,00053c68bc,0005413274,000545d5c6
00054a8297,00054f437b,000553feb3,000558bf0a,00055d6180,0005610508,0005644330,00056747f3
00056a2653,00056cde6a,00056f8ad8,000572041e,0005747832,000576e722,0005795e5b,00057bc352
00057e2dc0,00058061e5,00058291ca,000584b072,000586d67c,000588e074,00058af237,00058cefc4
00058ef8c1,000590f09c,000592f082,000594eb55,000596efc4,000598ab7e,00059a5e26,00059c0e49
00059dcb50,00059f5ca1,0005a0fc6e,0005a28c6d,0005a439f3,0005a61815,0005a8260e,0005aa37c1
0005ac6a26,0005ae87c4,0005b0b581,0005b2ea88,0005b53236,0005b73d9e,0005b948fb,0005bb4a8b
0005bd5a77,0005bf5482,0005c15bc9,0005c35831,0005c5652d,0005c7577e,0005c9540d,0005cb4adb
0005cd5046,0005cf296b,0005d107f6,0005d2d75b,0005d4b3f9,0005d682f6,0005d86093,0005da2346
