ffff95b994dc,ffffb5208328,ffffd5952bcd,fffff421f196
000012dc489d,000036bdccaf,00005b17c845,0000813f9675
0000a618ede4,0000bdb407c0,0000cf7a73e6,0000e3369808
0000f5c7c766,0001034a7bf3,000111b71019,00011bdc87ed
00012985d3c3,0001510176f9,0001830aa7a1,0001bbac8e67
0001f7cb8211,000228ee7368,000257e535ca,000285b152ae
0002b365b62c,0002ed458961,00032b4588c6,00035f6c391a
00039076a0ff,0003cc3f5e08,000402674ca5,00043a34255b
000464d64a07,000452e72be5,0004225cfb1c,0003e5ee85cf
00039a813424,000346530633,0002eb3da273,0002826299c7
000214da6c6b,0001b9f3434f,000163d47b2a,000109ac23f1
0000adde2414,00004e48f78f,ffffe9fbf8b2,ffff86cd4105
ffff1ed8d23b,fffea36c7a1c,fffe1fae7372,fffd939213ab
fffd042843ac,fffc824d4ad0,fffc027fe85b,fffb85b19091
fffb08201117,fffa73c00e11,fff9d7085536,fff9465754e2
fff8b8cb2ed9,fff81e020e15,fff78afb237a,fff6f4fda7bc
fff670b43c77,fff63e370607,fff634c3ed3a,fff63db68d3b
fff65b2f5eca,fff67f5c0275,fff6acafb49c,fff6eb416b3b
fff731e1b656,fff76d1f4f22,fff7a83eff1d,fff7e751c164
fff82a50d55f,fff87815b9fc,fff8cbdc6eed,fff92328fa06
fff97df68502,fff9d9608ce6,fffa3609f601,fffa97ad1d0c
fffafb04551d,fffb58fed096,fffbb764bb27,fffc1439d5f9
fffc72f4c589,fffce2d235e2,fffd59e25da1,fffdcc08c17c
fffe3e200c21,fffeb827f5f2,ffff2f098709,ffffa8ec9dc5
00001a47374b,00005fceb831,00008fe21013,0000b6d3992f
0000d37bca73,0000ed90f194,00010387b800,000110ed47c6
00011aa79e0b,00012afa123e,00013be47be4,00014b518083
000159290abf,000161970f50,000167471821,00016b5df307
00016e0a9ab3,0001715f7c8c,00017490dae7,000175a68a37
0001761cdedc,000178f7b8b2,00017b9f839d,00017f01cf4c
0001817ae1de,00017bfdd637,0001730fa871,00016c5a8723
000165806e2a,00015a7c4a7f,0001509edbe7,000145235f3a
00013d518ec6,000149becdf0,00015ffa76f8,000179673361
000197330861,0001b766722a,0001d9338430,0001ff1130eb
000225ba324b,0002449f73df,000260e1e1a7,00027de3a3b6
00029ab730ef,0002b7fd8ab5,0002d64658a4,0002f35ab800
000311982f94,000336f60f0f,00035f048b56,000389af786f
0003b5135435,0003daba5363,0003ff0e9f8b,000421c56a2b
0004444770a2,00046ee3ad8d,00049c2ed486,0004c479d9bd
0004eb28c396,0005167cd407,00053e81f7e5,00056750441d
0005891463fe,00058b802523,00057e13e2ee,000569616fc8
00054caa4aaa,00052d4eb573,00050a4eddc2,0004e0a13cf5
0004b3bce022,00048ad3d746,000461c3bcf2,00043738f5da
00040b21dcca,0003dab79e29,0003a806b872,000373f029a6
00033ea8c8ff,000309ee3c3b,0002d525c682,00029e90bc46
000267924f12,000232fd7e28,0001fe6e0f08,0001cad89d0c
000196aa112f,00015b48611c,00011d0a3533,0000e0d740f3
0000a4d7d151,0000664d875b,00002961a0fd,ffffeb6e8864
ffffb12c07d7,ffff88838246,ffff688243bd,ffff4d42a7ff
ffff366dfa5f,ffff1ef13afb,ffff093ac5e9,fffef694ff17
fffee632c26d,fffed87e5c87,fffecd0b22be,fffec1b4da8c
fffeb7b3e2fa,fffeb208eb99,fffead58e4b7,fffeab2ce154
fffea87126d2,fffe9bc56f36,fffe8b5542a3,fffe7953d255
