fffec34bd41f,ffff1624678c
ffff6a9b7e26,ffffc3ea540f
00001c199ec2,00008373d85e
0000e9e98e15,00012639baae
00015b014f0c,00017f912189
0001a7ca279f,00022723a926
0002c8754d29,00034fcc150b
0003d5298093,00047ac51ac5
00050e4c1993,0005b499e795
000631918799,0005d5e8e10b
0005165431b7,00041aab8671
0002f1e1bb2b,0001f5dd5ae5
0000f3f66f30,ffffe142eaca
fffebd851554,fffd52e46652
fffbc677d18e,fffa5bcaa572
fff8f2bf08bd,fff7489b4315
fff5ae695429,fff3fc5931c8
fff2805246cb,fff2295e620e
fff25d548a99,fff2d48e7bd3
fff38bee3c96,fff433c8255e
fff4edebd3d0,fff5d24bb28f
fff6cd89e5e4,fff7d35a3548
fff8e7f67091,fff9f0e59521
fffafeedc040,fffc429171ef
fffd881f826e,fffee0ec4b33
0000231cf74a,0000caa637d1
00012ba50691,00016d7d23aa
000190db2e90,0001bfad49a9
0001e7e05cfd,0001fbd37810
000205e848a0,00020e6ea690
000211796e54,000219f44c66
000220089070,00020d0a5e43
0001f87c85e9,0001d90f2afc
0001c2b3a6d2,0001f2d30fcb
000240bfbc88,00029f6cfc51
0003093fb7a5,00035d85f1ce
0003af6ebdbf,000402b70f60
000458607127,0004c68079de
00053e70bf32,0005a669c255
00060ae84613,0006852f5acd
0006f6e8466a,00076f83198d
0007d1aedaf2,0007c2ec8eaf
00077df7a891,00071ea0f7b5
0006a6068ccb,000631f95a27
0005b68f170b,00052a5e1e1e
000495c8cd32,0003ffeebec4
000365c46b28,0002d1bf7a60
00023cf32358,0001921a4015
0000e7258010,000036e17a91
ffff91019601,ffff2a2554ef
fffee22d7cd2,fffea2a917b5
fffe716fe471,fffe4d4401ae
fffe3019aaa3,fffe229a35e3
fffe18f6019b,fffdefc28642
fffdbcbd5bb4,fffd93180373
fffd6c1b896f,fffd420e1292
fffd200cdc0b,fffcfbc9af04
fffce490f678,fffd0769b635
fffd469d9d68,fffd94307f27
fffdef26cffd,fffe47b4c5de
fffea3fb60f5,ffff08f54635
ffff71d7c675,ffffdaf446c6
000045f3d0cf,0000aa989c46
00010e6024cb,000181f11bdf
0001f4c50fa4,00026905fa64
0002d4c58fb5,0003129d73f3
000337f74059,00035d81f1ea
00037791ba5c,00037413c9a4
00036819a337,000348a2b1e5
000328cba30c,00034b8e55bb
000386c2d611,0003b283cd07
0003dd159139,000414523607
00043df80e7b,000474101a7f
00049072972e,0004296ceaea
0003877d7960,0002b8ba5e6b
0001cf409020,00011820c12c
0000613ed1ec,ffffa93cb4a9
fffee4472da5,fffdc1e37e51
fffc76fa574d,fffb4de11696
fffa25f5c1ec,fff8c4dcab2c
fff776db244e,fff60ed699f2
fff4dd89250b,fff4d48060d0
fff5557e74cf,fff621489696
fff72bc89d98,fff80e24aea0
fff8fd0e116c,fffa0c1ed318
fffb321d0868,fffc8f7507d7
fffe0bf262c3,ffff6a683a81
0000ca331501,0002733384ab
0004121236f6,0005cbada8a8
0007540e3b2f,0007bfa40d6d
0007a5db62b2,00074e5c8b0b
0006baf34e61,000637200010
0005a3dea6f6,0004e8be343d
00041a2ffe5e,00034a38c9f9
000270a442f9,0001a36d15d7
0000d3583063,ffffd21902e3
fffecf8eb1b6,fffdbd32c7ff
fffcc007d971,fffc4ecf281a
fffc1e330595,fffc0853c9cb
fffc0e9847a6,fffc106d3423
fffc1972f722,fffc37277e10
fffc5d44c6f1,fffc78e615bd
fffc94c17423,fffcae4ed2bb
fffcc9cf1ca2,fffcf87a833d
fffd2a80f326,fffd63256092
fffd97f719f5,fffda68066c0
fffda4ed095f,fffd9cc4e257
fffd8ef4c6a8,fffd884da126
fffd829018a6,fffd7a885fd8
fffd721afc3c,fffd67c9152e
fffd5cdcdebe,fffd572a9e0f
fffd535a4ae6,fffd494a6012
fffd41f7b707,fffd3963e0d1
fffd37a0d83c,fffd55ae4065
fffd83311c12,fffdb963177b
fffdf72dc835,fffe3271d93c
fffe70326dd8,fffeb2481819
fffef7b9de78,ffff43372a84
ffff926dbaad,ffffe09e2011
00002fdb35aa,000084a01596
0000d8e83bbf,00013051a373
0001842d64f8,0001c1f580b7
0001f617b6d6,000221c79d5a
000248c4a803,00027a1d5fd8
0002ab0df566,0002dc42c43b
000309af3f8a,00031fab4dd8
00032b17f7ee,000339824c17
000345e91a37,00034a925a1f
000351ea0a78,00035134b37a
0003581fdc2d,00038fe8d824
0003db53432c,00043b9a7256
0004a40a896e,0004e84cc3a8
000528b8d962,000562246503
0005a177f4ba,0006260776c0
0006c6d7907f,000753569b27
0007df405fe4,00088807b199
000922b75eae,0009cf438f77
000a59b4c9ea,000a2d2c5b42
0009addf350b,0008f5dd3592
00081856e0e9,0007722acbac
0006c989ef37,0006193f9395
000557afcca0,000432828956
0002e05fda11,0001b1e3c04c
0000830bbbc1,ffff1193bcd8
fffdb30c694d,fffc3541801d
fffaf259ff22,fffaf73a2717
fffb932ba676,fffc837b27bb
fffdb7919640,fffeb50b5bdd
ffffbd9ac1e3,0000e4f5cba9
0002257011ca,0003b4cb43b6
00056cc25483,0006fe8f0eb8
000890ccc1fc,000a76bab690
000c4c9b81eb,000e436cd6ef
000ffb5f7f49,001050afdd5e
001000d5a9f0,000f5b5a735f
000e6ad9850c,000da1e900bb
000cc8060230,000bc3c15889
000aa390f571,00095154b874
0007df27611b,0006872164fd
00052a420ef9,00037ed84994
0001d9230313,000013959ccd
fffe7b19c355,fffdfc1bfb6c
fffdfd459d0c,fffe3e195d3b
fffeb647e960,ffff09555a1f
ffff64d6b2ef,ffffde454b2f
00006936b9c9,000116005be0
0001d7ace29b,00027da2d37f
00032309cd30,000409b17926
0004e8dcb9d2,0005de0fd6e7
0006aa750567,000686d47b77
0005f2f89400,000531248d34
00043ead6ce9,000350cae122
00025783a4ea,00013a8fd1b3
000012e72537,ffff0a6d3b32
fffe08f204cb,fffd150ae7d7
fffc24977965,fffb0d19e940
fff9f411dca8,fff8d9ab5138
fff7cf1a85ea,fff71b71165b
fff697087634,fff60f4c945e
fff59e107f6f,fff56eb7cbf2
fff551c35d04,fff55e1b8826
fff56b2d4faa,fff4e7715bcc
fff42ebd6832,fff39a744ba5
fff30a0af9e1,fff25b0ac000
fff1cb17fed6,fff120d026da
fff0b225c927,fff16fad44e4
fff2b5959e78,fff45eada37a
fff64689051a,fff7c9bdd43f
fff9502cc602,fffadfc26006
fffc8d5213fd,fffef6f30c8a
0001b44b78d7,00042da201a2
0006a67e381c,00099aaf4690
000c6aa7be52,000f720bfd37
00120aba56cf,00124140ce41
00115c04bd56,000fe1718887
000de71ee491,000c394cd6a6
000a7245b435,00086733a824
00062fd21152,00039b61399e
0000cfff71d5,fffe40dc94a5
fffbb0e40971,fff88ed01ce5
fff57f78eba5,fff23ecf128c
ffef5e00c309,ffeea4fdccbb
ffeef07854e7,ffefac15f22d
fff0dce40faf,fff20648fc46
fff3518bf79c,fff4f3042a99
fff6b7aaa117,fff84e79d326
fff9e4981f88,fffb6eb1ffb7
fffcfe1bd8c2,fffedce3f2cc
0000c6da859b,0002c3b15c6c
0004ab68abb5,0005f1ff82ae
0006ec4e8aa1,0007d48df086
00089b8038cb,000945bb3f16
0009e13d45eb,000a5733b53d
000ac554725d,000b84ee32ae
000c5ea74494,000d21227507
000ddd4ba26e,000ea252a957
000f52e742c8,001007fe0128
00109adefceb,0010988f1cd1
00104b89593e,000fdb2af7ee
000f45f8b123,000eaa52f87c
000e005827fd,000d39db6c65
